   3.2059373311076311e-01	  -1.7464565531339993e-01	
   2.8504579785920275e-01	   1.6597272337638391e-01	
   2.5134135045612499e-01	   3.6856928336229888e-01	
   2.1768906966608653e-01	   4.9934546101658639e-01	
   1.8400067352855923e-01	   6.7984344182353840e-01	
   1.5124004053985468e-01	   7.8304354608644799e-01	
   1.1760782383175442e-01	   8.8619649976703063e-01	
   8.4015735287530535e-02	   9.3410300550020731e-01	
   5.1048040973223706e-02	   7.2237478117173448e-01	
   3.4244773631614017e-02	   4.5627239466885516e-01	
   2.0411792980136515e-02	   3.0082793109892658e-01	
   1.3443136041358425e-02	   2.9492608164559031e-01	
   6.4744791025803366e-03	   2.8902423219225559e-01	
  -3.4971644624265906e-04	   8.4235170128253323e-02	
  -7.5581346467197628e-04	  -5.5667077664398890e-01	
  -4.6689162928451185e-04	  -9.5444519816035245e-01	
   3.3187993508163819e-03	  -7.6639509751870993e-01	
   1.2010559646447700e-02	  -7.3277572292702142e-01	
   2.3313058283878557e-02	  -6.9349025179361989e-01	
   4.9868272010734446e-02	  -6.5337964546954019e-01	
   8.2972402082221119e-02	  -6.2948934416225044e-01	
   1.1695212868949111e-01	  -6.1107653706737586e-01	
   1.5049606343706334e-01	  -5.9268730526366475e-01	
   1.8404802381741084e-01	  -5.8534736304943547e-01	
   2.1756788166665711e-01	  -5.3381026247727870e-01	
   2.5111582923061698e-01	  -5.2094567546830861e-01	
   2.8505542767401054e-01	  -4.4728642042602806e-01	
